year,ipo_count,avg_listing_return,worst,best
2020,14,44.34,-14.04,125.00
2021,63,30.57,-27.70,267.18
2022,38,9.37,-19.98,50.98
2023,59,28.53,-10.00,162.60
2024,90,30.12,-20.22,195.53
2025,103,9.40,-36.61,72.50
